date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:50%20GMT	http://lemkus.com/cdn/shop/files/Accessories-Featured-Dropdown_Images_556x508-3.png?v=1627892835	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/Accessories-Featured-Dropdown_Images_556x508-34f51.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:53	128892/128892	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Nov%202023%2008:29:18%20GMT	https://lemkus.com/cdn/shop/files/June_Bags_More_Sneakers_Featured_Dropdown_Images_556x508_d899c2ab-801d-4410-bf7b-a8451382e432.png?v=1686572514	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/June_Bags_More_Sneakers_Featured_Dropdown_Images_556x508_d899c2ab-801d-4410-bf7b-a8451382e432b903.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:52%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_1.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_12d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:55	133966/133966	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Nov%202023%2017:20:31%20GMT	https://lemkus.com/cdn/shop/files/Accessories-Featured-Dropdown_Images_556x508-3.png?v=1627892835	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/Accessories-Featured-Dropdown_Images_556x508-34f51.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:54%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_2.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_22d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:57	238802/238802	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2012:50:34%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_1.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_12d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:56%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_3.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_32d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:59	267586/267586	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2017:09:00%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_2.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_22d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:58%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_4.png?v=1699954005	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_469ef.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:01	331792/331792	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2017:09:01%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_3.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_32d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:14:00%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_5.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_52d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:03	206672/206672	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2017:09:02%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_4.png?v=1699954005	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_469ef.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:14:02%20GMT	http://lemkus.com/cdn/shop/files/FD1146-100_6.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_62d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:05	278468/278468	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2017:09:03%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_5.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_52d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:05	853553/853553	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2017:09:04%20GMT	https://lemkus.com/cdn/shop/files/FD1146-100_6.png?v=1699954006	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/FD1146-100_62d2f.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:06	9482/9482	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Nov%202023%2008:51:59%20GMT	https://cdn.shopify.com/s/files/1/3101/1544/files/Payflex_New_Logo.jpg?v=1637062133	C:/My%20Web%20Sites/airforce1/cdn.shopify.com/s/files/1/3101/1544/files/Payflex_New_Logo4792.jpg	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:06	7590/7590	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202023%2001:35:43%20GMT	https://cdn.shopify.com/s/files/1/0538/9280/8895/files/button-happypay.png?v=1693907736	C:/My%20Web%20Sites/airforce1/cdn.shopify.com/s/files/1/0538/9280/8895/files/button-happypayd0cf.png	(from https://lemkus.com/products/air-force-1-07-flyease)
11:14:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:14:06%20GMT	http://lemkus.com/cdn/shop/files/DZ4764-133-1.png?v=1697116798	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/files/DZ4764-133-1266a.png	(from https://lemkus.com/products/air-force-1-07-flyease)
